Number of Files,MSE,Name
5,-6.005070671,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Lagator et al Pr"
5,-5.034994995,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, Anderson et al"
5,-5.3160423,"La Fleur et al, Urtecho et al, Hossain et al, Yu et al, De Novo Designs"
5,-5.723352855,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pl"
5,-6.359302972,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Lagator et al Pr"
5,-5.607248741,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, Anderson et al"
5,-5.102754993,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al 36N, De Novo Designs"
5,-5.928847599,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Lagator et al Pr"
5,-5.132210571,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, Anderson et al"
5,-5.4652738,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pl, De Novo Designs"
5,-5.064796571,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr, Anderson et al"
5,-5.820830192,"La Fleur et al, Urtecho et al, Hossain et al, Lagator et al Pr, De Novo Designs"
5,-5.089767274,"La Fleur et al, Urtecho et al, Hossain et al, Anderson et al, De Novo Designs"
5,-4.920533109,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pl"
5,-5.15739777,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Lagator et al Pr"
5,-4.069923233,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, Anderson et al"
5,-3.8559992,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al 36N, De Novo Designs"
5,-4.617592001,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Lagator et al Pr"
5,-4.621112994,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, Anderson et al"
5,-4.781850852,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pl, De Novo Designs"
5,-4.743258605,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr, Anderson et al"
5,-4.414625726,"La Fleur et al, Urtecho et al, Yu et al, Lagator et al Pr, De Novo Designs"
5,-3.552412639,"La Fleur et al, Urtecho et al, Yu et al, Anderson et al, De Novo Designs"
5,-5.325146375,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-5.10243513,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-5.238464474,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-4.947416931,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-5.264624705,"La Fleur et al, Urtecho et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.871131246,"La Fleur et al, Urtecho et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.450589722,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-5.216632475,"La Fleur et al, Urtecho et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.078633706,"La Fleur et al, Urtecho et al, Lagator et al Pl, Anderson et al, De Novo Designs"
