upstream_length,downstream_length,mse,r2
43,49,1.1225378901666192,0.527416551650008
63,49,1.1225378901666192,0.527416551650008
32,49,1.1225378901666192,0.527416551650008
22,49,1.1225378901666192,0.527416551650008
10,49,1.1225378901666192,0.527416551650008
56,49,1.1225378901666192,0.527416551650008
5,49,1.1225378901666192,0.527416551650008
15,49,1.1225378901666192,0.527416551650008
72,34,1.1220917805866804,0.527604361794749
76,39,1.1210546460951887,0.5280409907929196
90,10,1.1203991388592802,0.5283169564174901
75,39,1.1201974547636482,0.5284018645227986
70,27,1.1197356254910922,0.5285962925880652
62,13,1.11967030153333,0.5286237936831191
68,15,1.1195259767841355,0.5286845537592413
70,33,1.11916447910122,0.5288367426724703
72,10,1.1187844063786256,0.5289967515946108
89,13,1.1187564725548786,0.5290085116099008
69,15,1.1185933976876559,0.5290771654021393
58,20,1.1183701384274467,0.5291711565555693
81,13,1.1179508775525024,0.5293476635151785
68,27,1.1177820955129922,0.5294187200015118
69,27,1.1162173434130516,0.530077473661126
81,10,1.115732723724584,0.5302814963899092
68,33,1.1150903287742329,0.5305519418007046
91,13,1.1149522625747854,0.5306100670552791
85,13,1.1144459078917748,0.5308232401198871
73,10,1.1135291206615916,0.5312092034574621
88,13,1.1129091327921743,0.531470215587058
65,10,1.112717579755072,0.531550858561882
63,15,1.1106747474044258,0.5324108818761293
53,13,1.1101535272965122,0.5326303132183627
57,18,1.109872575495253,0.532748592674426
67,32,1.1095460836245314,0.5328860442967501
74,27,1.1090391958817347,0.5330994417771521
24,32,1.1088291922382807,0.5331878523750115
32,32,1.1088291922382807,0.5331878523750115
50,32,1.1088291922382807,0.5331878523750115
17,32,1.1088291922382807,0.5331878523750115
22,32,1.1088291922382807,0.5331878523750115
34,32,1.1088291922382807,0.5331878523750115
36,32,1.1088291922382807,0.5331878523750115
11,32,1.1088291922382807,0.5331878523750115
38,32,1.1088291922382807,0.5331878523750115
31,32,1.1088291922382807,0.5331878523750115
13,32,1.1088291922382807,0.5331878523750115
66,32,1.1088291922382807,0.5331878523750115
4,32,1.1088291922382807,0.5331878523750115
49,32,1.1088291922382807,0.5331878523750115
37,32,1.1088291922382807,0.5331878523750115
30,32,1.1088291922382807,0.5331878523750115
53,32,1.1088291922382807,0.5331878523750115
42,32,1.1088291922382807,0.5331878523750115
12,32,1.1088291922382807,0.5331878523750115
61,32,1.1088291922382807,0.5331878523750115
52,32,1.1088291922382807,0.5331878523750115
44,32,1.1088291922382807,0.5331878523750115
27,32,1.1088291922382807,0.5331878523750115
62,32,1.1088291922382807,0.5331878523750115
25,32,1.1088291922382807,0.5331878523750115
60,32,1.1088291922382807,0.5331878523750115
39,32,1.1088291922382807,0.5331878523750115
1,32,1.1088291922382807,0.5331878523750115
14,32,1.1088291922382807,0.5331878523750115
35,32,1.1088291922382807,0.5331878523750115
9,32,1.1088291922382807,0.5331878523750115
18,32,1.1088291922382807,0.5331878523750115
29,32,1.1088291922382807,0.5331878523750115
20,32,1.1088291922382807,0.5331878523750115
54,32,1.1088291922382807,0.5331878523750115
7,32,1.1088291922382807,0.5331878523750115
58,32,1.1088291922382807,0.5331878523750115
46,32,1.1088291922382807,0.5331878523750115
2,32,1.1088291922382807,0.5331878523750115
40,32,1.1088291922382807,0.5331878523750115
41,32,1.1088291922382807,0.5331878523750115
8,32,1.1088291922382807,0.5331878523750115
6,32,1.1088291922382807,0.5331878523750115
63,32,1.1088291922382807,0.5331878523750115
16,32,1.1088291922382807,0.5331878523750115
19,32,1.1088291922382807,0.5331878523750115
59,32,1.1088291922382807,0.5331878523750115
48,32,1.1088291922382807,0.5331878523750115
28,32,1.1088291922382807,0.5331878523750115
51,32,1.1088291922382807,0.5331878523750115
10,32,1.1088291922382807,0.5331878523750115
26,32,1.1088291922382807,0.5331878523750115
47,32,1.1088291922382807,0.5331878523750115
23,32,1.1088291922382807,0.5331878523750115
65,32,1.1088291922382807,0.5331878523750115
33,32,1.1088291922382807,0.5331878523750115
55,32,1.1088291922382807,0.5331878523750115
43,32,1.1088291922382807,0.5331878523750115
64,32,1.1088291922382807,0.5331878523750115
5,32,1.1088291922382807,0.5331878523750115
3,32,1.1088291922382807,0.5331878523750115
57,32,1.1088291922382807,0.5331878523750115
15,32,1.1088291922382807,0.5331878523750115
0,32,1.1088291922382807,0.5331878523750115
45,32,1.1088291922382807,0.5331878523750115
21,32,1.1088291922382807,0.5331878523750115
56,32,1.1088291922382807,0.5331878523750115
68,32,1.1085632765259046,0.5332998017046742
83,10,1.1057036165991645,0.5345037057876683
78,34,1.1056545114038154,0.5345243788560371
82,10,1.1051509955441647,0.5347363567886638
84,27,1.1046706159652158,0.5349385944502387
66,15,1.10442905928783,0.5350402887347443
77,10,1.1044178061922345,0.5350450262378326
91,10,1.103012852795586,0.5356365053556202
60,41,1.1029515890772612,0.5356622971079685
38,41,1.1029515890772612,0.5356622971079685
50,41,1.1029515890772612,0.5356622971079685
5,41,1.1029515890772612,0.5356622971079685
44,41,1.1029515890772612,0.5356622971079685
68,41,1.1029515890772612,0.5356622971079685
31,41,1.1029515890772612,0.5356622971079685
20,41,1.1029515890772612,0.5356622971079685
26,41,1.1029515890772612,0.5356622971079685
14,41,1.1029515890772612,0.5356622971079685
37,41,1.1029515890772612,0.5356622971079685
67,41,1.1029515890772612,0.5356622971079685
70,41,1.1029515890772612,0.5356622971079685
29,41,1.1029515890772612,0.5356622971079685
4,41,1.1029515890772612,0.5356622971079685
0,41,1.1029515890772612,0.5356622971079685
6,41,1.1029515890772612,0.5356622971079685
15,41,1.1029515890772612,0.5356622971079685
73,41,1.1029515890772612,0.5356622971079685
53,41,1.1029515890772612,0.5356622971079685
43,41,1.1029515890772612,0.5356622971079685
21,41,1.1029515890772612,0.5356622971079685
55,41,1.1029515890772612,0.5356622971079685
69,41,1.1029515890772612,0.5356622971079685
74,41,1.1029515890772612,0.5356622971079685
9,41,1.1029515890772612,0.5356622971079685
13,41,1.1029515890772612,0.5356622971079685
54,41,1.1029515890772612,0.5356622971079685
35,41,1.1029515890772612,0.5356622971079685
2,41,1.1029515890772612,0.5356622971079685
7,41,1.1029515890772612,0.5356622971079685
39,41,1.1029515890772612,0.5356622971079685
46,41,1.1029515890772612,0.5356622971079685
36,41,1.1029515890772612,0.5356622971079685
51,41,1.1029515890772612,0.5356622971079685
25,41,1.1029515890772612,0.5356622971079685
17,41,1.1029515890772612,0.5356622971079685
1,41,1.1029515890772612,0.5356622971079685
49,41,1.1029515890772612,0.5356622971079685
59,41,1.1029515890772612,0.5356622971079685
19,41,1.1029515890772612,0.5356622971079685
28,41,1.1029515890772612,0.5356622971079685
40,41,1.1029515890772612,0.5356622971079685
56,41,1.1029515890772612,0.5356622971079685
64,41,1.1029515890772612,0.5356622971079685
8,41,1.1029515890772612,0.5356622971079685
62,41,1.1029515890772612,0.5356622971079685
32,41,1.1029515890772612,0.5356622971079685
63,41,1.1029515890772612,0.5356622971079685
72,41,1.1029515890772612,0.5356622971079685
57,41,1.1029515890772612,0.5356622971079685
10,41,1.1029515890772612,0.5356622971079685
65,41,1.1029515890772612,0.5356622971079685
11,41,1.1029515890772612,0.5356622971079685
61,41,1.1029515890772612,0.5356622971079685
75,41,1.1029515890772612,0.5356622971079685
58,41,1.1029515890772612,0.5356622971079685
47,41,1.1029515890772612,0.5356622971079685
22,41,1.1029515890772612,0.5356622971079685
48,41,1.1029515890772612,0.5356622971079685
3,41,1.1029515890772612,0.5356622971079685
66,41,1.1029515890772612,0.5356622971079685
52,41,1.1029515890772612,0.5356622971079685
24,41,1.1029515890772612,0.5356622971079685
16,41,1.1029515890772612,0.5356622971079685
30,41,1.1029515890772612,0.5356622971079685
34,41,1.1029515890772612,0.5356622971079685
12,41,1.1029515890772612,0.5356622971079685
23,41,1.1029515890772612,0.5356622971079685
42,41,1.1029515890772612,0.5356622971079685
27,41,1.1029515890772612,0.5356622971079685
33,41,1.1029515890772612,0.5356622971079685
41,41,1.1029515890772612,0.5356622971079685
18,41,1.1029515890772612,0.5356622971079685
45,41,1.1029515890772612,0.5356622971079685
71,41,1.1029515890772612,0.5356622971079685
77,38,1.1024230725139115,0.5358848002254186
72,15,1.1023181949964276,0.535928953192816
89,10,1.1021070039007945,0.5360178637027502
92,13,1.10204704014263,0.5360431081776651
82,27,1.1018576835115579,0.5361228264753404
71,33,1.10101597471186,0.536477182128323
78,38,1.1009436036156115,0.536507650037269
74,34,1.100898782599227,0.5365265194853892
73,34,1.1008867027985898,0.536531605027615
69,13,1.0994508292574272,0.537136101388425
25,33,1.0984331894871506,0.5375645231958566
52,33,1.0984331894871506,0.5375645231958566
63,33,1.0984331894871506,0.5375645231958566
35,33,1.0984331894871506,0.5375645231958566
28,33,1.0984331894871506,0.5375645231958566
60,33,1.0984331894871506,0.5375645231958566
15,33,1.0984331894871506,0.5375645231958566
11,33,1.0984331894871506,0.5375645231958566
16,33,1.0984331894871506,0.5375645231958566
40,33,1.0984331894871506,0.5375645231958566
64,33,1.0984331894871506,0.5375645231958566
5,33,1.0984331894871506,0.5375645231958566
7,33,1.0984331894871506,0.5375645231958566
